Month,Tourist Arrival,Number of Posts,Number of Comments,Airbnb Vietnam,Vietnam restaurant,Shopping in Hanoi,Shopping in Ho Chi Minh, Vietnam tour , Skyscanner , Vietnam visa , Vietnam airport , Vietnam flights  , Danang airport , Hoi An , Vietnam weather , Visa for Vietnam , Sgn airport , Phu Quoc , Vietnam itinerary , Vietnam trip , Things to do in Hue , Vietnam backpackers ,CCI,PMI,REERI,Class
01/06/2018,1183102,982,8229,69,81,16,17,61,76,70,72,59,70,70,53,57,61,65,53,73,13,27,118.2,55.7,124,Validation
01/07/2018,1188817,1044,6931,69,86,17,14,68,78,76,82,64,70,79,66,67,67,65,68,67,20,38,117.9,54.9,124,Validation
01/08/2018,1323546,1273,8856,82,90,15,19,73,74,79,81,67,73,84,64,68,65,70,62,69,15,27,116.2,53.7,125,Validation
01/09/2018,1212597,1257,8884,68,80,23,20,61,78,79,79,62,79,69,67,66,70,64,62,74,17,22,120.1,51.5,125,Validation
01/10/2018,1205157,1344,9419,69,80,18,14,59,72,77,71,55,77,66,60,67,66,67,61,71,12,21,118.6,53.9,126,Validation
01/11/2018,1301909,1390,10420,69,78,23,18,62,68,84,79,62,68,73,70,68,70,77,60,71,16,26,117.5,56.5,127,Validation
01/12/2018,1374235,1258,8518,60,93,25,29,65,58,79,77,60,78,75,71,66,72,84,63,69,18,19,118.3,53.8,127,Validation
01/01/2019,1501766,1009,7336,71,87,17,20,74,80,87,91,80,90,79,82,76,74,93,77,78,19,26,111.2,51.9,125,Validation
01/02/2019,1588161,865,6420,73,84,19,14,68,80,73,79,71,81,82,69,64,66,82,75,85,13,26,113.8,51.2,125,Validation
01/03/2019,1410187,860,6363,79,90,27,22,67,77,76,81,66,89,87,64,66,72,79,76,83,17,24,118.4,51.9,126,Validation
01/04/2019,1468766,845,5705,72,87,18,17,64,74,76,76,64,99,85,60,62,69,70,64,72,20,26,117.2,52.5,126,Test
01/05/2019,1326668,923,6685,72,83,21,16,61,77,72,76,62,69,69,61,59,62,63,59,74,13,18,120,42.7,126,Test
01/06/2019,1185445,903,7605,87,81,14,19,65,82,72,78,65,80,71,57,64,62,62,75,69,18,32,118.2,52.5,126,Test
01/07/2019,1315792,960,6430,75,88,18,16,67,86,75,81,67,86,82,62,70,74,67,70,68,18,25,118.4,52.6,126,Test
01/08/2019,1512447,1170,8140,71,88,20,22,70,86,79,90,75,92,79,69,73,77,64,72,73,17,21,109.8,51.4,127,Test
01/09/2019,1561274,1155,8165,76,81,18,23,68,82,81,86,76,68,72,62,76,88,59,76,77,21,18,113.2,50.5,128,Test
01/10/2019,1618337,1235,8658,83,92,23,19,69,87,82,93,76,90,77,67,78,95,67,78,77,18,21,115.5,50,127,Test
01/11/2019,1809580,1278,9578,77,83,26,18,74,83,84,90,76,67,78,71,80,93,79,78,77,21,20,116.8,51,127,Test
01/12/2019,1710168,1258,8518,68,85,28,24,76,76,83,93,79,91,80,75,81,82,87,71,84,17,18,119.3,50.8,126,Test
01/01/2020,1994125,928,6513,79,87,24,23,81,100,98,99,100,97,82,69,91,85,88,94,100,20,18,119.8,50.6,127,Test
01/02/2020,1242731,638,4565,47,76,14,13,51,80,66,74,74,63,70,51,51,78,65,56,71,14,19,121,51.6,128,Test
01/03/2020,449923,383,3337,33,44,6,9,30,44,52,51,61,38,40,28,28,49,40,28,34,8,19,109.1,53.6,132,Test
