Month,Tourist Arrival,NegativityQDAP,PositivityQDAP,TOPIC 1,TOPIC 2,TOPIC 3,TOPIC 4,TOPIC 5,TOPIC 6,TOPIC 7,TOPIC 8,TOPIC 9,TOPIC 10,CCI,PMI,REERI,Class
01/10/2015,649099,0.08333333,0.08333333,0.006025279,0.006436405,0.009637421,0.010271237,0.013148744,0.00129229,0.015586321,0.923692439,0.008782398,0.0031203,110,50.1,124,Train
01/11/2015,732740,0,0.17647059,0.012179983,0.007929213,0.00678635,0.006425365,0.005731921,0.00288396,0.007266117,0.006758716,0.57270982,0.376768251,111.3,49.4,125,Train
01/12/2015,760798,0.11111111,0,0.006828929,0.004869331,0.005811856,0.007668349,0.006022672,0.001355375,0.005988854,0.004463271,0.011804661,0.945186701,112.6,51.3,126,Train
01/01/2016,815200,0,0.11111111,0.012179983,0.007588966,0.009446329,0.013495322,0.012354927,0.002217652,0.894156268,0.031330802,0.010883525,0.006677923,112,51.5,126,Train
01/02/2016,843726,0.0625,0,0.007981387,0.018758364,0.009795811,0.784948326,0.018152689,0.002290729,0.014971031,0.015753405,0.016346328,0.107020036,111.7,50.3,125,Train
01/03/2016,830608,0.09090909,0,0.013623969,0.009846505,0.008133807,0.006250806,0.006109013,0.003082439,0.010998916,0.024457363,0.912820893,0.011148374,111,50.7,123,Train
01/04/2016,799612,0.1,0.1,0.004663631,0.005006864,0.005594982,0.010552365,0.938811164,0.001149961,0.009022842,0.014597574,0.005068138,0.005532478,109,52.3,121,Train
01/05/2016,767373,0.23076923,0,0.007981387,0.017296344,0.011289796,0.769691807,0.01922725,0.00200237,0.032932389,0.115376585,0.011172016,0.009384814,114.7,52.7,123,Train
01/06/2016,710574,0.18181818,0,0.012179983,0.007529276,0.010817844,0.011941366,0.015329164,0.001509303,0.01868137,0.910991333,0.010159648,0.003695066,113.5,52.6,123,Train
01/07/2016,856438,0.07142857,0.07142857,0.012179983,0.0092989,0.006180234,0.005957298,0.005362316,0.00290953,0.009810006,0.012359393,0.929780152,0.011753602,110,51.9,124,Train
01/08/2016,909866,0.15384615,0.07692308,0.007981387,0.017232881,0.011687697,0.63995127,0.022391034,0.002521694,0.172997914,0.097663279,0.011136808,0.009912394,109.8,52.2,123,Train
01/09/2016,823135,0.33333333,0.11111111,0.012179983,0.008327415,0.011853263,0.013148365,0.016798889,0.001661289,0.020420743,0.90208466,0.011220296,0.004173354,111.2,52.9,124,Train
01/10/2016,822145,0,0,0.007981387,0.020543255,0.006039356,0.907384248,0.01289624,0.001362584,0.012295078,0.015420332,0.007278779,0.008613346,107.2,51.7,125,Train
01/11/2016,936779,0.07692308,0.15384615,0.014135199,0.011017057,0.015153605,0.017078599,0.02396801,0.002209915,0.02490464,0.870546497,0.015824188,0.005874447,113.8,54,127,Train
01/12/2016,897279,0,0,0.012179983,0.008583855,0.01155201,0.013192335,0.015693908,0.001801509,0.034846098,0.886187299,0.012944699,0.004230221,118.2,52.4,129,Train
01/01/2017,1007238,0,0,0.012179983,0.008025351,0.011468213,0.014437683,0.01574563,0.001548305,0.017331312,0.90728616,0.01066045,0.003953164,118.5,51.9,129,Train
01/02/2017,1199421,0.11111111,0.22222222,0.007981387,0.021948592,0.590221804,0.022719127,0.029698924,0.003813124,0.036436227,0.230959658,0.024759729,0.017182486,116.3,54.2,127,Train
01/03/2017,1005821,0,0.1,0.00913583,0.014798373,0.008301697,0.010704301,0.011442232,0.863737147,0.017677812,0.016211472,0.023032082,0.0118159,116.9,54.6,127,Train
